"pcode","value","population","ratio"
"0",322,47121089,0.68
"11001",271,7674366,3.53
"13001",212,978600,21.66
"13006",119,22279,534.14
"13030",36,13159,273.58
"13042",35,18082,193.56
"13052",31,69869,44.37
"13074",104,17171,605.67
"13140",3,22720,13.2
"13160",66,8919,739.99
"13188",8,11105,72.04
"13212",7,12527,55.88
"13222",14,12340,113.45
"13244",105,73457,142.94
"13248",12,7768,154.48
"13268",13,9099,142.87
"13300",5,11846,42.21
"13430",145,123477,117.43
"13433",2,25150,7.95
"13440",11,9718,113.19
"13442",55,47410,116.01
"13458",609,20262,3005.63
"13468",48,43493,110.36
"13473",104,20566,505.69
"13490",68,5266,1291.3
"13549",77,24428,315.21
"13580",6,10108,59.36
"13600",32,17512,182.73
"13650",1,13556,7.38
"13654",22,21498,102.34
"13655",9,12857,70
"13657",17,33231,51.16
"13667",29,16560,175.12
"13670",359,31876,1126.24
"13673",6,12929,46.41
"13683",335,21618,1549.63
"13688",312,40200,776.12
"13744",144,19726,730
"13780",8,11278,70.93
"13810",168,21243,790.85
"13836",17,70190,24.22
"13838",7,14576,48.02
"13873",11,19234,57.19
"13894",11,11459,95.99
"15047",13,15577,83.46
"15104",8,4590,174.29
"15135",1,3885,25.74
"15162",1,3883,25.75
"15176",5,63381,7.89
"15180",5,4506,110.96
"15183",13,9786,132.84
"15185",4,5888,67.93
"15212",3,3780,79.37
"15223",23,6710,342.77
"15224",5,4665,107.18
"15236",10,1873,533.9
"15238",3,111804,2.68
"15244",1,5309,18.84
"15322",3,9726,30.85
"15325",5,5371,93.09
"15332",4,7110,56.26
"15362",6,2305,260.3
"15377",23,5158,445.91
"15442",2,7563,26.44
"15464",2,4832,41.39
"15480",7,9283,75.41
"15507",54,10633,507.85
"15518",13,1840,706.52
"15531",8,10727,74.58
"15533",10,2575,388.35
"15542",4,8369,47.8
"15550",7,1384,505.78
"15572",139,54391,255.56
"15580",9,8074,111.47
"15638",4,3810,104.99
"15660",1,1883,53.11
"15667",8,5360,149.25
"15673",1,3890,25.71
"15681",15,10623,141.2
"15690",2,4105,48.72
"15720",2,2418,82.71
"15755",6,8541,70.25
"15757",8,7241,110.48
"15759",11,114213,9.63
"15761",1,3766,26.55
"15804",3,9295,32.28
"15832",7,1796,389.76
"15842",4,10308,38.8
"15897",1,4680,21.37
"17001",111,393167,28.23
"17013",12,22503,53.33
"17042",73,34053,214.37
"17050",3,11698,25.65
"17088",20,11064,180.77
"17174",49,51901,94.41
"17272",5,11364,44
"17380",63,76187,82.69
"17388",6,5739,104.55
"17433",11,23624,46.56
"17442",19,8968,211.86
"17444",14,14970,93.52
"17446",2,3424,58.41
"17486",12,30050,39.93
"17495",12,6481,185.16
"17513",9,12540,71.77
"17524",28,17834,157
"17541",88,26370,333.71
"17614",97,60061,161.5
"17616",37,9800,377.55
"17653",14,17293,80.96
"17662",64,25760,248.45
"17665",3,7584,39.56
"17777",16,26360,60.7
"17867",25,8592,290.97
"17873",4,54177,7.38
"17877",9,12551,71.71
"18001",973,166342,584.94
"18029",94,6429,1462.12
"18094",180,11428,1575.08
"18150",1244,32384,3841.4
"18205",370,11574,3196.82
"18247",394,22039,1787.74
"18256",363,19642,1848.08
"18410",735,23295,3155.18
"18460",878,11690,7510.69
"18479",79,3773,2093.82
"18592",946,33165,2852.4
"18610",495,14712,3364.6
"18753",1799,65590,2742.8
"18756",460,22757,2021.36
"18785",308,9143,3368.7
"18860",198,11524,1718.15
"19001",225,272709,82.51
"19022",383,21139,1811.82
"19050",1340,26221,5110.41
"19075",486,25174,1930.56
"19100",1142,44443,2569.58
"19110",451,31062,1451.93
"19130",390,36909,1056.65
"19137",100,32613,306.63
"19142",178,17568,1013.21
