"pcode","total","LAT","LON","MUNICIPIO","DEPARTAMEN","CODANEDEP","OBJECTID","population","ratio"
"0",392,NA,NA,NA,NA,NA,NA,47121089,1
"11001",303,4.31449390236,-74.1807895443,"Bogota D.C.","CUNDINAMARCA",11,906,7674366,4
"13001",231,10.4368878019,-75.4677861176,"Cartagena","BOLIVAR",13,177,978600,24
"13006",157,8.62634510168,-74.4773412999,"Achí","BOLIVAR",13,7,22279,705
"13030",44,8.75685336514,-74.1940002095,"Altos del Rosario","BOLIVAR",13,30,13159,334
"13042",43,8.34204153893,-74.1057103816,"Arenal","BOLIVAR",13,60,18082,238
"13052",37,10.1639584403,-75.3710439534,"Arjona","BOLIVAR",13,65,69869,53
"13074",130,8.83921171891,-74.1643508163,"Barranco de Loba","BOLIVAR",13,88,17171,757
"13140",3,10.222434223,-74.9966814957,"Calamar","BOLIVAR",13,146,22720,13
"13160",87,7.23950293728,-74.1019508365,"Cantagallo","BOLIVAR",13,163,8919,975
"13188",8,9.23547539323,-74.6881735232,"Cicuco","BOLIVAR",13,219,11105,72
"13212",10,9.54169449246,-74.8934489522,"Córdoba","BOLIVAR",13,132,12527,80
"13222",15,10.5559868104,-75.31451382,"Clemencia","BOLIVAR",13,227,12340,122
"13244",141,9.69961881603,-75.1550059303,"El Carmen de Bolívar","BOLIVAR",13,294,73457,192
"13248",12,10.0350735254,-74.9277759735,"El Guamo","BOLIVAR",13,309,7768,154
"13268",13,8.86477250969,-73.9120647894,"El Peñon","BOLIVAR",13,314,9099,143
"13300",5,8.98406172241,-74.1464654739,"Hatillo de Loba","BOLIVAR",13,418,11846,42
"13430",179,9.16871210743,-74.7478485919,"Magangué","BOLIVAR",13,529,123477,145
"13433",5,10.1764235404,-75.1817331198,"Mahates","BOLIVAR",13,531,25150,20
"13440",15,9.05455306771,-74.2255620147,"Margarita","BOLIVAR",13,546,9718,154
"13442",61,9.97997026097,-75.3437108416,"María La Baja","BOLIVAR",13,554,47410,129
"13458",668,8.019902999,-74.4626537059,"Montecristo","BOLIVAR",13,581,20262,3297
"13468",52,9.13940341825,-74.5457269592,"Mompóx","BOLIVAR",13,576,43493,120
"13473",124,8.25262288255,-73.972929553,"Morales","BOLIVAR",13,586,20566,603
"13490",111,NA,NA,NA,NA,NA,NA,5266,2108
"13549",77,8.87419555606,-74.3852255849,"Pinillos","BOLIVAR",13,682,24428,315
"13580",20,8.7234140044,-73.8483853416,"Regidor","BOLIVAR",13,754,10108,198
"13600",32,8.49649953609,-74.0356489135,"Río Viejo","BOLIVAR",13,782,17512,183
"13647",3,10.3656744759,-75.2051253549,"San Estanislao","BOLIVAR",13,828,16047,19
"13650",1,9.09178633242,-74.3597941969,"San Fernando","BOLIVAR",13,830,13556,7
"13654",26,9.83494817829,-75.1054411774,"San Jacinto","BOLIVAR",13,835,21498,121
"13655",9,8.23740770123,-74.6677021298,"San Jacinto Cauca","BOLIVAR",13,836,12857,70
"13657",17,9.96730608009,-75.0647060855,"San Juan Nepomuceno","BOLIVAR",13,851,33231,51
"13667",35,8.78649861546,-74.0097909343,"San Martín de Loba","BOLIVAR",13,862,16560,211
"13670",406,7.42254630713,-74.138304016,"San Pablo","BOLIVAR",13,868,31876,1274
"13673",10,10.6482148518,-75.2664459605,"Santa Catalina","BOLIVAR",13,891,12929,77
"13683",371,10.468875323,-75.3615633037,"Santa Rosa","BOLIVAR",13,897,21618,1716
"13688",334,7.77259884349,-74.2623862003,"Santa Rosa del Sur","BOLIVAR",13,901,40200,831
"13744",184,7.85036854343,-73.9843503353,"Simití","BOLIVAR",13,932,19726,933
"13780",9,9.30178356357,-74.6324001318,"Talaigua Nuevo","BOLIVAR",13,978,11278,80
"13810",200,8.49316470156,-74.296897119,"Tiquísio","BOLIVAR",13,1011,21243,941
"13836",17,10.352934121,-75.3747762283,"Turbaco","BOLIVAR",13,1036,70190,24
"13838",7,10.2338572004,-75.4541294521,"Turbaná","BOLIVAR",13,1037,14576,48
"13873",18,10.4482820196,-75.2632983726,"Villanueva","BOLIVAR",13,1085,19234,94
"13894",11,9.7464475167,-74.8831294231,"Zambrano","BOLIVAR",13,1109,11459,96
"15047",13,5.43444048013,-72.8822646592,"Aquitania","BOYACA",15,49,15577,83
"15104",13,5.4399622027,-73.3805737205,"Boyacá","BOYACA",15,115,4590,283
"15135",1,5.00777630814,-73.1448895288,"Campohermoso","BOYACA",15,159,3885,26
"15162",1,5.96135621572,-72.964277498,"Cerinza","BOYACA",15,186,3883,26
"15176",5,5.62249438172,-73.803861325,"Chiquinquirá","BOYACA",15,206,63381,8
"15180",5,6.68853351501,-72.4164524379,"Chiscas","BOYACA",15,209,4506,111
"15183",19,6.10173180426,-72.4461944904,"Chita","BOYACA",15,210,9786,194
"15185",4,5.98248251894,-73.424710523,"Chitaraque","BOYACA",15,212,5888,68
"15212",3,5.43690360728,-74.0300145709,"Coper","BOYACA",15,247,3780,79
"15223",23,6.88501805725,-72.1835561557,"Cubará","BOYACA",15,263,6710,343
"15224",5,5.5260331351,-73.4440721752,"Cucaita","BOYACA",15,264,4665,107
"15236",10,4.8708782375,-73.3612442269,"Chivor","BOYACA",15,215,1873,534
"15238",3,5.88221635703,-73.0676147039,"Duitama","BOYACA",15,284,111804,3
"15244",1,6.35214350927,-72.41504188,"El Cocuy","BOYACA",15,299,5309,19
"15322",3,5.01461405155,-73.4878313613,"Guateque","BOYACA",15,409,9726,31
"15325",5,4.93113912898,-73.4959464658,"Guayata","BOYACA",15,413,5371,93
"15332",4,6.5636159715,-72.2596149301,"Güicán","BOYACA",15,362,7110,56
"15362",6,5.61735984264,-72.969692132,"Iza","BOYACA",15,440,2305,260
"15377",27,5.53818432066,-72.6010554552,"Labranzagrande","BOYACA",15,503,5158,523
"15442",6,5.568890669,-74.0213196187,"Maripí","BOYACA",15,548,7563,79
"15464",2,5.70920509192,-72.6874837923,"Mongua","BOYACA",15,577,4832,41
"15480",13,5.52616412822,-74.1159663501,"Muzo","BOYACA",15,598,9283,140
"15507",66,5.75190851492,-74.1940409363,"Otanche","BOYACA",15,632,10633,621
"15518",13,5.38420265746,-72.6970109762,"Pajarito","BOYACA",15,643,1840,707
"15531",8,5.68603499305,-74.0033967015,"Pauna","BOYACA",15,663,10727,75
"15533",10,5.65725633332,-72.373694893,"Paya","BOYACA",15,665,2575,388
"15542",4,5.49393135095,-73.0760838669,"Pesca","BOYACA",15,674,8369,48
"15550",7,5.74027540734,-72.4852792588,"Pisba","BOYACA",15,684,1384,506
"15572",156,5.95364659909,-74.4535784947,"Puerto Boyacá","BOYACA",15,713,54391,287
"15580",9,5.56775893585,-74.2196988431,"Quipama","BOYACA",15,748,8074,111
