date,total_idps,projection
2010-01-01,20667,x
2010-02-01,15445,x
2010-03-01,14717,x
2010-04-01,15960,x
2010-05-01,13817,x
2010-06-01,13440,x
2010-07-01,13015,x
2010-08-01,15187,x
2010-09-01,12467,x
2010-10-01,13165,x
2010-11-01,14324,x
2010-12-01,15645,x
2011-01-01,25465,x
2011-02-01,18205,x
2011-03-01,17905,x
2011-04-01,15854,x
2011-05-01,19537,x
2011-06-01,18300,x
2011-07-01,17899,x
2011-08-01,24084,x
2011-09-01,18424,x
2011-10-01,19288,x
2011-11-01,19505,x
2011-12-01,16372,x
2012-01-01,23124,x
2012-02-01,18810,x
2012-03-01,15795,x
2012-04-01,15883,x
2012-05-01,17076,x
2012-06-01,17625,x
2012-07-01,21036,x
2012-08-01,15483,x
2012-09-01,13865,x
2012-10-01,19424,x
2012-11-01,22353,x
2012-12-01,16323,x
2013-01-01,22498,x
2013-02-01,19421,x
2013-03-01,18889,x
2013-04-01,15274,x
2013-05-01,13880,x
2013-06-01,16338,x
2013-07-01,14304,x
2013-08-01,14860,x
2013-09-01,12081,x
2013-10-01,12041,x
2013-11-01,17132,x
2013-12-01,9327,x
2014-01-01,10328,10328
2014-02-01,x,11992
2014-03-01,x,14081
2014-04-01,x,14489
2014-05-01,x,13740
2014-06-01,x,16273
