"","N","%Valid","%Cum.Valid","%Total","%Cum.Total"
"Abejorral-5002",7266,0.92,0.92,0.92,0.92
"Abrego-54003",0,0,0.92,0,0.92
"Abriaqui-5004",814,0.1,1.02,0.1,1.02
"Acacias-50006",0,0,1.02,0,1.02
"Acandi-27006",0,0,1.02,0,1.02
"Acevedo-41006",0,0,1.02,0,1.02
"Achi-13006",0,0,1.02,0,1.02
"Agrado-41013",0,0,1.02,0,1.02
"Agua De Dios-25001",0,0,1.02,0,1.02
"Aguachica-20011",0,0,1.02,0,1.02
"Aguada-68013",0,0,1.02,0,1.02
"Aguadas-17013",0,0,1.02,0,1.02
"Aguazul-85010",0,0,1.02,0,1.02
"Agustin Codazzi-20013",0,0,1.02,0,1.02
"Aipe-41016",0,0,1.02,0,1.02
"Alban-25019",0,0,1.02,0,1.02
"Alban-52019",0,0,1.02,0,1.02
"Albania-18029",0,0,1.02,0,1.02
"Albania-44035",0,0,1.02,0,1.02
"Albania-68020",0,0,1.02,0,1.02
"Alcala-76020",0,0,1.02,0,1.02
"Aldana-52022",0,0,1.02,0,1.02
"Alejandria-5021",3976,0.5,1.52,0.5,1.52
"Algarrobo-47030",0,0,1.52,0,1.52
"Algeciras-41020",0,0,1.52,0,1.52
"Almaguer-19022",0,0,1.52,0,1.52
"Almeida-15022",0,0,1.52,0,1.52
"Alpujarra-73024",0,0,1.52,0,1.52
"Altamira-41026",0,0,1.52,0,1.52
"Alto Baudo-27025",0,0,1.52,0,1.52
"Altos Del Rosario-13030",0,0,1.52,0,1.52
"Alvarado-73026",0,0,1.52,0,1.52
"Amaga-5030",1156,0.15,1.66,0.15,1.66
"Amalfi-5031",4573,0.58,2.24,0.58,2.24
"Ambalema-73030",0,0,2.24,0,2.24
"Anapoima-25035",0,0,2.24,0,2.24
"Ancuya-52036",0,0,2.24,0,2.24
"Andalucia-76036",0,0,2.24,0,2.24
"Andes-5034",2647,0.33,2.57,0.33,2.57
"Angelopolis-5036",1208,0.15,2.73,0.15,2.73
"Angostura-5038",2110,0.27,2.99,0.27,2.99
"Anolaima-25040",0,0,2.99,0,2.99
"Anori-5040",5486,0.69,3.68,0.69,3.68
"Anserma-17042",0,0,3.68,0,3.68
"Ansermanuevo-76041",0,0,3.68,0,3.68
"Anza-5044",1750,0.22,3.9,0.22,3.9
"Anzoategui-73043",0,0,3.9,0,3.9
"Apartado-5045",37813,4.76,8.67,4.76,8.67
"Apia-66045",0,0,8.67,0,8.67
"Apulo-25599",0,0,8.67,0,8.67
"Aquitania-15047",0,0,8.67,0,8.67
"Aracataca-47053",0,0,8.67,0,8.67
"Aranzazu-17050",0,0,8.67,0,8.67
"Aratoca-68051",0,0,8.67,0,8.67
"Arauca-81001",0,0,8.67,0,8.67
"Arauquita-81065",0,0,8.67,0,8.67
"Arbelaez-25053",0,0,8.67,0,8.67
"Arboleda-52051",0,0,8.67,0,8.67
"Arboledas-54051",0,0,8.67,0,8.67
"Arboletes-5051",7574,0.95,9.62,0.95,9.62
"Arcabuco-15051",0,0,9.62,0,9.62
"Arenal-13042",0,0,9.62,0,9.62
"Argelia-19050",0,0,9.62,0,9.62
"Argelia-5055",13083,1.65,11.27,1.65,11.27
"Argelia-76054",0,0,11.27,0,11.27
"Ariguani-47058",0,0,11.27,0,11.27
"Arjona-13052",0,0,11.27,0,11.27
"Armenia-5059",367,0.05,11.32,0.05,11.32
"Armenia-63001",0,0,11.32,0,11.32
"Armero-73055",0,0,11.32,0,11.32
"Arroyohondo-13062",0,0,11.32,0,11.32
"Astrea-20032",0,0,11.32,0,11.32
"Ataco-73067",0,0,11.32,0,11.32
"Atrato-27050",0,0,11.32,0,11.32
"Ayapel-23068",0,0,11.32,0,11.32
"Bagado-27073",0,0,11.32,0,11.32
"Bahia Solano-27075",0,0,11.32,0,11.32
"Bajo Baudo-27077",0,0,11.32,0,11.32
